sub_code,sub_name
2MUS,MUSIC
2MVS10,MUSIC INDIVIDUAL STUDY
2PD,PERSONAL DEVELOPMENT
2PHD,PHYSICAL EDUCATION
2PHE,PHYSICAL EDUCATION
2PLP,PATHWAYS
2PPP,"POLITICS, POWER AND PEOPLE"
2PPS,PHILOSOPHY
2PSC,PSYCHOLOGY
2PYI,PHYSICS
2PYS,PHYSICS
2RES,ROBOTIC AND ELECTRONIC SYSTEMS
2RPA,RESEARCH PROJECT A
2RPB,RESEARCH PROJECT B
2RPJ1,RESEARCH PROJECT
2RPJA,RESEARCH PROJECT (VOC)
2RPJB,RESEARCH PROJECT (UNI)
2RPM10,RESEARCH PROJECT: MODIFIED
2SCF,SCIENTIFIC STUDIES
2SCF20,SCIENTIFIC STUDIES
2SFM20,SCIENTIFIC STUDIES: MODIFIED
2SOM10,SOCIETY & CULTURE: MODIFIED
2SOM20,SOCIETY & CULTURE: MODIFIED
2SOM20B,SOCIETY & CULTURE: MODIFIED
2SOR,SOCIETY & CULTURE
2STU,SCIENTIFIC STUDIES
2VAA,VISUAL ARTS - ART
2VAD,DESIGN
2WPA,WORKPLACE PRACTICES
2WPAH,WORKPLACE PRACTICES (HYBRID)
2WPB,WORK PLACE PRACTICES
2WPC,WORKPLACE PRACTICES
8ART,VISUAL ART
8ART1,ART
8ARTD,ART/DESIGN
8CARE,CARE GROUP
8CARE1,CARE GROUP
8CER,CERAMICS
8CFFL,CREATIVE FOOD FOR LIFE
8CHI,CHINESE
8CHI1,CHINESE
8DAN,DANCE
8DANS1,DANCE
8DASD,STAGE DESIGN
8DDN,DIGITAL DESIGN
8DIMS1,DIGITAL MUSIC
8DRA,DRAMA
8DRAS1,DRAMA
8DTE,DIGITAL TECHNOLOGY
8DTEA,DIGITAL TECHNOLOGY
8DTEB,DIGITAL TECHNOLOGY APPS
8EALA,ENGLISH AS AN ADDITIONAL LANG A
8EALB,ENGLISH AS AN ADDITIONAL LANG B
8ENG,ENGLISH
8ENG1,ENGLISH
8ENGL,ENGLISH
8ENGO,ENGLISH
8ENGP,ENGLISH
8ENGX,ENGLISH
8ENGY,LANGUAGE
8ENGZ,ENGLISH
8ESL,ENGLISH AS A SECOND LANGUAGE PHASE 3/4
8ESL1,ENGLISH 2ND LANG
8ESLA,ENGLISH AS A SECOND LANGUAGE A
8ESLB,ENGLISH AS A SECOND LANGUAGE B
8ESLEA,ENGLISH AS A SECOND LANGUAGE A
8ESLEB,ENGLISH AS A SECOND LANGUAGE B
8FOD,FOOD AND NUTRITION
8GER1,GERMAN
8GRK1,GREEK
8HEC,FOOD
8HEC1,HOME EC
8HEC2,HOME EC
8HPE,HEALTH AND PHYSICAL EDUCATION
8HUM,HUMANITIES
8HUME,HUMANITIES
8HUML,HUMANITIES
8HUMO,HUMANITIES
8HUMP,HUMANITIES
8HUMTE,HUMANITIES
8HUMTL,HUMANITIES
8HUMTO,HUMANITIES
8HUMTP,HUMANITIES
8HUMX,HUMANITIES
8HUMY,HUMANITIES
8HUMZ,HUMANITIES
8HUWFW,HUMANITIES - WALK FOR WATER
8ICT,COMPUTING
8ITA,ITALIAN
8ITA1,ITALIAN
8JAP,JAPANESE
8KAU,KAURNA
8KAU1,KAURNA
8LINKENG,LINK ENGLISH
8LINKLIT,LINK LITERACY
8LINKMTH,LINK MATHS
8LINKSCI,LINK SCIENCE
8LINKSOS,LINK HUMANITIES
8LIT,ESL LITERACY
8LITAF,LITERACY
8LITCOACH,LITERACY COACHING
8LITE,ESL LITERACY
8LITP,LITERACY
8LITT,LEARNING SUPPORT
8LITY,LITERACY
8LITZ,LITERACY
8LNSP,LEARNING SUPPORT
8MDN,MATERIALS DESIGN
8MDNM,METALWORK
8MDNW,WOODWORK
8MME,DIGITAL MEDIA
8MME1,MULTIMEDIA
8MTH,MATHEMATICS
8MTH1,MATHEMATICS
8MTHE,MATHEMATICS
8MTHL,MATHEMATICS
8MTHO,MATHEMATICS
8MTHP,MATHEMATICS
8MTHX,MATHEMATICS
8MTHY,MATHEMATICS
8MTHZ,MATHEMATICS
8MUS,MUSIC
8MUS1,MUSIC
8MWK,METALWORK
8MWK1,METALWORK
8PD,PERSONAL DEVELOPMENT
8PDV,PERSONAL DEVELOPMENT
8PED,PHYSICAL EDUCATION
8PED1,PHYSICAL EDUCATION
8PED2,PHYSICAL EDUCATION
8PEX,PHYSICAL EDUCATION EXTRA
8PLP,PERSONAL LEARNING PLAN
8SCI,SCIENCE
8SCI1,SCIENCE
8SCIE,SCIENCE
8SCIL,SCIENCE
8SCIO,SCIENCE
8SCIP,SCIENCE
8SCIX,SCIENCE
8SCIY,SCIENCE
8SCIZ,SCIENCE
8SOS,HUMANITIES
8SOS1,HUMANITIES
8SOSX,HUMANITIES EXTENSION
8TSE1,ENERGY TECHNOLOGY
8TSES,ENERGY STUDIES
8TUT,TUTORING
8TXT,TEXTILES
8TXT1,TEXTILES
8WWK,WOODWORK
8WWK1,WOODWORK
9ART,VISUAL ART
9ART1,ART
9ART2,ART
9ARTS1,ART
9ARTS2,ART
9ARTS3,ART
9ARTS4,ART
9ARTSI,SPECIAL INTEREST ART
9CARE,CARE GROUP
9CHI,CHINESE
9CHIF,CHINESE FULL
9CHIH,CHINESE HALF
